🔒 Row ID,Permit #,Permit Type,Permit Description,Project #,Permit Target Date,Permit Submittal Date,Permit Agency Comments 1 Date,Permit Resubmittal 1 Date,Permit Agency Comments 2 Date,Permit Resubmittal 2 Date,Permit Approval Date,Permit Expiration Date,Notes,TargetAlerts/Removal Flag,SubmittalAlerts/Removal Flag,SubmittalAlertsOLD/Submittal Alert Sent Date,AgencyCommentsAlerts/Comments 1 Removal Flag,AgencyCommentsAlerts/Comments 2 Removal Flag,AgencyCommentsAlertsOLD/Agency Comments 1a Sent Date,AgencyCommentsAlertsOLD/Agency Comments 1b Sent Date,AgencyCommentsAlertsOLD/Agency Comments 2a Sent Date,AgencyCommentsAlertsOLD/Agency Comments 2b Sent Date,ExpirationAlerts/Removal Flag,ExpirationAlertsOLD/Expiration Alert Sent Date,RecMetadataPermit/Date Created,RecMetadataPermit/Created By Email,RecMetadataPermit/Date Last Updated,RecMetadataPermit/Last Updated By Email
YrV8fH5MQOat0GCeXVfr0A,INST#2015000243125,Variance,,20141201,,,,,,,,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
a-0ICna-hQaGK6qIYyWG83w,COM2025-00910,Building Permitting,,20141201,,2025-06-18T00:00:00.000Z,,,,,,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2026-02-11T13:38:31.744Z,Al@qainc.net
tII3YD6bRSynEOBOLVMvmA,DOS2015-00031-M01,Site Development Minor Change,,20141201,,2024-04-11T00:00:00.000Z,,,,,2024-05-23T00:00:00.000Z,,,,,2024-05-26T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
tDcStNEGTaSCqsPq6CheZQ,DOS2015-00031,Site Development Permit,,20141201,,,,,,,2016-06-03T00:00:00.000Z,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
Vf1P2gnOQrubi973qnPO8A,160513-7/36-07332-P,SFWMD Major Modification,,20150603,,2019-09-24T00:00:00.000Z,,,,,2019-10-02T00:00:00.000Z,,,,,2019-11-08T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
YcNYnmV0Syy79rWtmLs.ZA,SEZ2015-00008,Special Exception,,20150603,,,,,,,,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
a-b3G9hKLQOWlsXAst9K91Q,DOS2016-00027,Project Certification - Site,,20150603,,2024-12-19T00:00:00.000Z,,,,,2024-12-27T00:00:00.000Z,,,,,2025-02-02T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
pmPKD8zTSYOj9GKK9d5M.A,DOS2016-00027,Site Development Amendment,,20150603,,,,,,,2016-12-27T00:00:00.000Z,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
k4LT55S.TRe1WHwUAvIdDQ,DOS2016-00027-MO2,Site Development Amendment,,20150603,,2025-07-31T00:00:00.000Z,,,,,2025-09-25T16:00:00.000Z,,,,,2025-09-14T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
ZruLR7mRR5-rPvLdhjkRPQ,DOS2016-00027-M01,Site Development Minor Change,,20150603,,,,,,,2019-04-03T00:00:00.000Z,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
Dx.lf3TGQN6MoUgOJWKwVQ,LCU2017-00008,Utility - New Project,,20150603,,,,,,,,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
YVrlzt6qQCKVDXip8TDEjw,ADD2016-00158,Administrative Zoning Amendment,,20160704,,2016-09-22T00:00:00.000Z,,,,,2016-10-27T00:00:00.000Z,,,,,2016-11-06T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
3eNbJYL5SXKYmr4Lw7bzlA,ADD2023-00179,Administrative Deviation,,20170404,,2023-10-09T00:00:00.000Z,,,,,2023-12-06T00:00:00.000Z,,,,,2023-11-23T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
hr6A8.XIRsCC-TZn1SelsQ,ADD2019-00106,Administrative Zoning Amendment,,20170404,,2019-07-15T00:00:00.000Z,2019-08-06T00:00:00.000Z,2019-09-03T00:00:00.000Z,,,2020-04-15T00:00:00.000Z,,,,,2019-08-29T00:00:00.000Z,,,2019-08-27T00:00:00.000Z,2019-09-20T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
s5zFkG-CRxaOuUsEwarhdA,,DEP Water,,20170404,,,,,,,2020-04-15T00:00:00.000Z,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
0s00inYgTuGRAQa0UrG3LA,LDO2024-00181,Limited Review Development Order,,20170404,,2024-04-24T00:00:00.000Z,,2024-08-19T00:00:00.000Z,,,2024-09-16T00:00:00.000Z,,,,,2024-06-08T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
a.KifMhvcRyKY6fZNZpOwJg,LDO2020-00246,Limited Review Development Order,,20170404,,2020-06-12T00:00:00.000Z,2021-09-02T00:00:00.000Z,,,,,,,,,2020-07-27T00:00:00.000Z,Alert Removed,,2021-09-23T00:00:00.000Z,2021-10-17T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
AZTDwjBdSliW8LHTBSfOZg,PLT2020-00002,Platting Permitting,,20170404,,2019-12-11T00:00:00.000Z,2025-05-14T00:00:00.000Z,2026-01-15T00:00:00.000Z,2026-02-18T00:00:00.000Z,,,,,,,2020-01-25T00:00:00.000Z,Alert Removed,,2025-06-04T00:00:00.000Z,2025-06-28T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2026-02-18T20:14:25.205Z,Shelly@qainc.net
fXB9yWsOTBiqcmcsT6EuIw,"DCI2021-00020
DCI2021-00020",Rezoning Planned Development,,20170404,,2021-05-18T00:00:00.000Z,2021-06-08T00:00:00.000Z,2021-07-08T00:00:00.000Z,,,2021-09-16T16:00:00.000Z,,,,,2021-07-02T00:00:00.000Z,,,2021-06-29T00:00:00.000Z,2021-07-23T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
7eyr4LAESTiwnSRFJe7NTg,170424,SFWMD Dewatering Permitting,,20170404,,2017-04-21T00:00:00.000Z,,,,,2017-05-03T00:00:00.000Z,,,,,2017-06-05T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
TPFG6qwNSnuRQfZ1suuEAQ,191015-2056/36-102320-P,SFWMD Drainage Permitting,,20170404,,2019-10-15T00:00:00.000Z,2020-04-13T00:00:00.000Z,2020-05-01T00:00:00.000Z,,,2020-05-08T00:00:00.000Z,,,,,2019-11-29T00:00:00.000Z,,,2020-05-04T00:00:00.000Z,2020-05-28T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-12-10T13:19:48.850Z,Al@qainc.net
tpod9UTHSLGq5Ikrznu1BA,DOS2019-00047-A04,Site Development Amendment,,20170404,,2025-02-24T00:00:00.000Z,2025-04-14T00:00:00.000Z,2025-07-05T16:00:00.000Z,2026-01-12T00:00:00.000Z,2026-01-28T00:00:00.000Z,2026-02-18T00:00:00.000Z,,,,,2025-04-10T00:00:00.000Z,,,2025-05-05T00:00:00.000Z,2025-05-29T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2026-02-18T21:15:17.640Z,Shelly@qainc.net
nRWq2geJTZaMT6oTFO3Z0Q,DOS2019-00047-A01,Site Development Amendment,,20170404,,2020-07-08T00:00:00.000Z,,,,,2020-07-28T00:00:00.000Z,,,,,2020-08-22T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
vDGiNOIeSSGXNPHpBrMhHQ,DOS2019-00047-A02,Site Development Amendment,,20170404,,,,,,,2021-03-02T00:00:00.000Z,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
VUnQ0b.3QAKWfFmnovlWSA,DOS2019-00047-A03,Site Development Amendment,,20170404,,2023-11-14T00:00:00.000Z,,2024-02-16T00:00:00.000Z,,,2024-04-16T00:00:00.000Z,,,,,2023-12-29T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
